classification, true_output, bin_output
59,1.4870695e-05,0
60,4.5841698e-05,0
61,0.00012296984,0
62,0.00042518807,0
63,0.0020259174,0
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,0.9999999,1
8,0.9999989,1
9,0.9999902,1
10,0.99998486,1
11,0.99896324,1
12,0.7011555,1
13,0.014448056,0
14,0.00046004314,0
15,0.00048758538,0
16,0.16521542,0
17,0.28022665,0
18,0.9862678,1
19,0.9941328,1
20,0.9999831,1
21,0.9994136,1
22,0.842983,1
23,0.9662651,1
24,0.9938683,1
25,0.9982021,1
26,0.9997625,1
27,0.86030686,1
28,0.3006754,0
29,0.22773916,0
30,0.038876835,0
31,0.0031787993,0
32,0.00057635957,0
33,0.0006232805,0
34,0.00017365537,0
35,5.7332072e-05,0
36,1.4412765e-05,0
37,5.674631e-06,0
38,1.2026885e-05,0
39,1.4502067e-05,0
40,6.412246e-06,0
41,1.9076242e-06,0
42,0.0007907087,0
43,0.9961849,1
44,0.99958605,1
45,0.9998648,1
46,0.9937623,1
47,0.9977894,1
48,0.99984336,1
49,0.99998176,1
50,0.99990165,1
51,0.9998772,1
52,0.99989593,1
53,0.9999994,1
54,1.0,1
55,1.0,1
56,1.0,1
2,0.9907829,1
3,0.90798736,1
4,0.9367986,1
5,0.27163777,0
6,0.80228156,1
7,0.09836585,0
8,0.7369578,1
9,0.26648802,0
10,0.01958917,0
11,0.4984803,0
12,0.06840083,0
13,0.34970084,0
14,0.99778205,1
15,0.999982,1
16,0.9999995,1
17,0.9999999,1
18,0.9999999,1
19,0.9999995,1
20,0.99998593,1
21,0.999726,1
22,0.99395645,1
23,0.99868685,1
2,0.9999999,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,0.99999917,1
8,0.9999976,1
9,0.9999963,1
10,0.99993503,1
11,0.007243547,0
12,3.7973132e-05,0
13,5.4018733e-06,0
14,3.982869e-06,0
15,2.055511e-06,0
16,3.9578485e-06,0
17,1.1379756e-05,0
18,4.3830187e-06,0
19,2.8051414e-07,0
20,2.627904e-07,0
21,7.277896e-07,0
22,4.9606956e-06,0
23,0.13174109,0
24,0.9731016,1
25,0.99168324,1
26,0.995624,1
27,0.98200226,1
